QID,Brand,Model,Question,Dialogue
Q418,一汽-大众,宝来/宝来经典,水壶拧开有气 冷却液自己有上升了 排气管滴水冒白烟,技师说：发动车车辆抖动吗|技师说：冷却液上升是从水壶盖往外冒水吗？|车主说：打开水壶盖有起 水壶里边上升|技师说：是加油门，水壶往上冒水，往上冲。还是水上升？|车主说：水上升|车主说：排气管冒白烟|技师说：冷车，热车都冒白烟吗|车主说：冷车轻 热车加油门冒的打|技师说：近来水温表正常吗？|技师说：建议您找一维修店进一步检查。按您提供的信息分析应车的气缸床冲了！！！|车主说：就是缸垫冲了？|技师说：是的|车主说：我换了不到1500公里|技师说：那就应该要检查气缸，缸体是否有问题！|车主说：怎么检查 拆开检查吗|技师说：要汽修店进一步确认一下是否冲气缸垫，是再拆开检查！|车主说：谢谢了
Q419,东风标致,标致307,C柱三角窗密封条，刷车或者下雨过后有积水，哪来的啊？,技师说：您好，从上面进去的，你把门子关闭看下有没有缝隙！|车主说：好像有，专家怎么修呢？|技师说：根据情况而定，更换密封条或者调节门子缝隙，找个钣金师傅让他调节！
Q420,长安福特,福睿斯,师傅帮看看这个轮胎还有补的必要吗，侧面擦到花台上了，刚跑完2000公里，原车是固特异的轮胎，我可以换成米奇林的轮胎吗？,技师说：侧面被刮破了是不能补的，建议更换。|车主说：谢谢师傅
Q421,北京现代,名图,请问下是修还是换？才买一个月的车自己撞墙上了,技师说：有保险吗？|技师说：大灯只能更换，＼其它细节看不太清楚|车主说：有 已经报保险了 说换叶子板大灯|技师说：那是还有几面油漆和几处校正|车主说：弄好了应该看不出来吧 算不算大修啊？|技师说：找专业修理店或4S店修好是看不出来的。这样算不上大修，只是刮擦|车主说：我也不懂撞了以后只能倒着开 是什么地方坏了？修好了对车有什么影响没有？修的时候我应该注意些什么？|技师说：以后只能倒着开是什么意思？？？|车主说：是刚撞的时候|技师说：那往前开是有响声还是卡往了|车主说：我看是轮子贴到后面了 应该是卡住了吧|技师说：以该右前叶孑板变形，|车主说：[图片]|技师说：底盘也检一下右边|车主说：还需要注意什么？|技师说：到4S店修车还是专业修理店修车|车主说：专业修理店 我们到4S太远时间太长|技师说：要正厂配件！|车主说：我怎么识别是不是正厂？|技师说：这我：  这要看修理店的诚信。包装上有专业4S店配套标|车主说：好的
Q422,北京现代,索纳塔八,昨天跑高速在休息的时候打开机盖发现这根管子在渗水出来不知道是什么管子。,技师说：你好，是铝的那条管吗|技师说：如果是铝的那条是正常的|技师说：因为空调管制冷是管的温度比较低，大气中的水冷凝上去了|车主说：L那条管子|技师说：正常的|车主说：哦|技师说：不用担心
Q423,路虎(进口),第三代发现,宝马X6 N54发动机怠速悠车，抖动，感觉像缺火或者缺油，跑起来就没有问题，缓车动力这些都正常 开始气门室盖开裂 漏油 更换原厂气门室盖 火花塞 后 ，问题缓解没有原来严重，之前做过编程，换过燃油泵,技师说：看看有没有涡轮增压方面的故障码？|车主说：漏油|车主说：管里面有油|车主说：节气门里面清洗完跑几分钟，拆下来看见机油比较多，增压器漏油|车主说：进气道里面也有机油|车主说：看数据就发现节气门前和节气门后 压力查多一半 开始怀疑漏气，注烟后没有发现，|车主说：气门口积碳比较多，更换进去支管垫时候发现的，当时没有清理|车主说：故障码现在没有，电脑编程以后都灭了|技师说：现在唯一还有什么问题？|车主说：下编程是昨天做的，问题还是悠车|技师说：确定|技师说：没有漏气？|车主说：目前发现曲轴后油封漏油，碳罐里面都是土|车主说：故障码没有|车主说：漏气没发现|车主说：除了气门室盖裂没发现|技师说：漏油就是漏气！可以明白吗？|车主说：其他地方漏气没发现|车主说：气门室盖已经更换原厂新的，|技师说：OK|技师说：换油封|车主说：曲轴后油封漏油，也会漏气?|技师说：哦|技师说：原来不明白呀|车主说：嘿嘿，手艺不到家|车主说：没想这么复杂|技师说：加油|车主说：[图片]|车主说：[图片]|技师说：可变气门正时系统的故障码
Q424,大众,捷达,12老捷达，熄火拔钥匙，显示屏要30秒才会熄灯，要显示屏熄灯了钥匙才能锁四门(熄灯后不会自动锁)，灯没熄钥匙锁门只会锁了驾驶室的门(是钥匙锁，不是遥控钥匙)。每次下车都要等好麻烦，有什么办法吗？谢谢,技师说：你好！说明加装的导航不匹配，关机时间太长，建议你去维修店拆卸下来检查有必要更换，有疑问可以追问我|车主说：没装导航，只装个单车雷达，跟遥控钥匙|技师说：你这样，先恢复一下是否能够解决问题|技师说：还在吗？|车主说：在的，|车主说：意思是说把线路先回复到出厂一样，把加装都先卸掉|技师说：对的就是这个意思，不要盲目维修|技师说：有疑问可以追问我|车主说：好的谢谢|技师说：没事、有疑问可以追问我
Q425,奔驰,奔驰G级AMG,发动机故障灯亮，偶发故障。行驶无异常。报此故障，请大师帮忙提点意见。谢谢,技师说：你好，换燃油泄漏诊断泵模块|技师说：美观车常见问题|技师说：还有碳罐通风电磁阀|车主说：我咨询宝马那边说，叫我换碳罐。能不能解决问题哦|技师说：碳罐久带我说的那个东西|技师说：碳罐和油箱泄漏诊断泵一起集成的|车主说：好的，谢谢|技师说：不用
Q426,一汽-大众,迈腾,15款速腾，车速超过五十方向就会不稳，会向右跑偏，微调方向后车会左右方向都不稳，现在跑了七千两百多公里。以前方向向右跑偏去4S店调过一次，用电脑什么的测完说方向都合适呢，4S店技师把车升起来，调了一下前轮下面的什么杆，方向不跑偏了，开了两个月现在方向又开始向右跑偏，怎么回事，该怎么调呢？急急急,技师说：你好，上次你去4S店做的是四轮定位，修工给你调的是方向机外拉杆(调的是前轮前束)。现在又跑偏了需要检查1.轮胎气压是否一致2.方向机外拉杆球头的固定螺母是否没有紧固。3.检查右前悬架有无变形。 建议您去当地专业修理厂或4S店检修。 希望我的解答对您有所帮助|车主说：胎压三号刚查过，都一样|技师说：那就是右前悬架的数据不正常，需要检查四轮定位数据有无异常，影响车辆跑偏的主要是前轮前束以及主销后倾角。还去以前的4S店，上次没有解决。
Q427,上汽大众,朗逸,7w公里，保养后换完机油后发动机声音明显和以前有点不一样了，怠速时声音有点大，什么情况？,技师说：你好师傅！更换新的机油后，发动机声音一般比较柔和，动力顺畅，如果使用的机油没有问题，可能是空滤没有安装到位，或者连接节气门的管口没有安装到位漏气，也可能是废气管忘记安装造成的！建议检查或者重新安装一下就好了！希望能够帮到你！祝你用车愉快！
Q428,一汽-大众,高尔夫,底盘地毯有积水怎么处理？,技师说：你好，把座椅和地板拆下来晾晒处理底盘线束以及插头，检查水是从哪里进去的，尽快维修|车主说：漏水的已经处理了，就积水不好处理|技师说：没有别的办法，只能把座椅和地板拆下来晾晒|车主说：自己可以处理吗|车主说：怎么拆啊|技师说：建议您不要自己处理，去修理厂拆，因为这工作量比较大，螺丝比较多，还有隐藏的螺丝和卡子。自己弄很容易损坏一些零部件。
Q429,东风标致,标致2008,更换机油一般是怎么放掉旧机油，哪种方法好,技师说：你好，一般是抽机油和放油底壳螺丝，一般维修店，滤芯在上面的是抽的，在下面就是放的，抽的要干净。|车主说：我这车滤芯在上面还是下面|技师说：你好，排量多少|车主说：1.6升自动4AT|技师说：这个就是在下面的。|技师说：抽机油吧，干净
Q430,广汽丰田,雷凌,请问下各位大师 我现在出差 车放家里两个月 中途有人开过2趟 但是听一些人说什么停了半年发动机就要大修什么 那我这种情况会有什么影响吗 准备回家吧机油换新的 目前机油全合成 才开3000来公里,技师说：不会有什么影响，只是放久了电池不耐用！|车主说：好的谢谢大师了
Q431,东风日产,奇骏,车跑高速后出现的裂纹，请问怎么解决？需要换玻璃吗？,技师说：这个 外面有专业修复的 可以修复
Q432,别克,英朗,早上开车启动突然显示这个状态有影响吗,技师说：您好，应该提示需要保养了吧|车主说：才保养大概2000多公里|技师说：那就没给您保养归零|车主说：启动时有，正常运营就没有了|技师说：对了，是这样的，只是一开始提示一下|车主说：会不会传感器坏了|技师说：什么传感器？|车主说：机油压力传感器|车主说：用电脑仪器能不能查出来|技师说：可以的，去找个汽修读一下故障|车主说：好的，谢谢|技师说：不用谢
Q433,一汽-大众,迈腾,汽车在起步是一阵阵的抖动，然后电脑查凸轮轴传感器位置g40然后我换了传感器还是这样，火花塞也换了，他们说是正时链条过齿了，我也换了，还是这样，匀速行驶阵阵的仪表盘闪下发动机故障，就闪一下就没了，然后就听到前面机子响，给油就咯噔咯噔的唑车，，是不是发动机坏了,技师说：你好！如果现在还是凸轮轴传感器故障、有两种情况，第一，传感器线路和发动机控制单元存在问题。这种可能性比较小因为你发动机有异响。第二，凸轮轴发动机内部机械故障。|技师说：你做了哪些检查，声音明显不，发动机有抖动现象吗？|车主说：我换了位置传感器，火花塞，正时链条。。。|车主说：还是那样|技师说：这样、有个很好的判断方法，打一下凸轮轴传感器的波形就可以锁定故障点，避免走弯路|车主说：好检查吗|技师说：这个好查只要打一下传感器波形分析一下就可以确定故障点了|技师说：只要可以打波形都很简单|车主说：这个需要怎么查|技师说：这个用示波器打一下波形进行分析、大致就是这样的给你发图片|车主说：好的|技师说：[图片]|技师说：根据图形分析是否正常，如果波形图正常肯定是线路或者发动机控制单元存在问题了|车主说：需要去ssss查吧|技师说：最好是去4S店|技师说：这种情况只要明确了目标很快就会解决问题|车主说：这一套下来得多少钱啊，要是太贵了我就卖了|技师说：这个一般正常情况下如果是发动机内部出现问题不大的话几千块|技师说：还有什么疑问吗？
Q434,比亚迪,比亚迪F3,请问师傅，我的F3防冻液是红色的，最近发现壶里已经快到最低液面了，想自己去买一瓶添加点，想问问师傅，只要是红色防冻液就可以添加吗？,技师说：你好车主，多久没有添加过防冻液了？或者多久没有更换过了，通常防冻液一般是2年左右更换一次的，要是超过2年，就要进行更换的，不然防冻液容易变质的，容易导致水箱水管腐蚀等问题的|技师说：要是更换时间不长，首先要检查一下有没有缺少，在进行添加，颜色一样就可以了，关键防冻液一定要正品的，壳牌，美孚，车扑都可以的|技师说：希望回答能帮助你，有不懂可以追问
Q435,道奇,锋哲,活性碳罐电磁阀坏了会怎样,技师说：怠速不稳
Q436,一汽丰田,RAV4荣放,rav4手套箱里面的隔板很费事的拆下来了，不上行不行,技师说：这个件不上也可以的|车主说：啊，我看拆下来后，手套箱内部有很多孔，挺深的？|车主说：没关系吗？|技师说：没有关系的，放心|车主说：谢谢哥|技师说：客气了，祝您用车愉快！
Q437,比亚迪,速锐,凉车不知道是发动机什么响，好像是气门响，水温上来了声音就没那么大了！只有加速时候能听到。,技师说：你车子跑了多少公里了，换的什么机油，多久没有更换了|技师说：一般情况下是更换下机油就好了，或者是机油用的不好?|车主说：换完机油4000多公里时候冬天凉车启动声音大！现在天暖了！还不怎么响了。下一步我打算换一点好的机油有什么推荐！|车主说：美孚2000|技师说：嘉实多磁护就没问题|技师说：冬天用5w30最好
Q438,东风本田,思域,昨天开会回家的就弄成这样……有必要用保险么？请问在外面修要多少钱去4s店是多少钱啊？,技师说：你好师傅，在外边维修，费用在700元左右，如果在ssss店费用在1200元左右的！这种小的事故走保险不划算，建议不走保险，希望能够帮到你！祝你用车愉快！|车主说：感谢|车主说：这样的小事在外面修好一点么？形象我以后的用车么？|技师说：可以的！建议到正规一点修理厂，修好后不影响以后的用车的！|车主说：谢谢
Q439,捷豹,XJ,你好，请问前几天我跑300多公里高速，并且在高速上有两个小时堵车， 这两天汽车开起来怎么感觉肉肉的，没有之前加油嗖嗖的感觉！,技师说：您好，车子多少公里了？|车主说：车子两万公里  一直都是5000多公里保养一次|技师说：节气门洗过没|车主说：没有清洗过|车主说：准备这次保养去清洗|技师说：嗯嗯，洗洗应该能好|车主说：怠速平稳，加油也正常，就是感觉没有之前遛了|车主说：会不会是油品的问题|技师说：就是燃油油品问题，或者驾驶习惯，而导致发动机里面有积炭，需要清洗一下就能好.|技师说：也可以换98的汽油试试
Q440,一汽-大众,宝来/宝来经典,2013款新宝来2014年1月购车，跑了7万公里，现在加油无力，转速上去，但是车速不上，感觉功率跟不上，匹配节气门后，症状消失，开一两天又开始发作，前段时间epc灯亮，然后去换新的节气门，匹配完后动力顺畅，但开2天加油无力，epc灯亮，去重新匹配节气门，恢复正常，2天后加油又无力了。,技师说：你好朋友，这种情况还是需要用电脑读取一下发动机电控系统的故障码，主要检查节气门和油门踏板的数据，根据故障码和数据流来具体分析故障点，希望我的回答可以帮到你，你可以关注我，以后有问题可以一对一咨询我，汽车大师竭诚为您服务！祝你驾驶愉快！
Q441,一汽-大众奥迪,奥迪A6,05年索兰托电瓶线接反了，烧坏了发动机电脑，还有些地方搭铁了，TCCS保险两根黄线都塔铁，不知哪块电脑烧了，我没有电路图，维修比较麻烦，请各位大师指教,技师说：将所有保险检查一下哪些是损坏的，然后更快换了，然后用解码器，进入电脑系统，看哪一个系统不能进入|技师说：或者说进电脑系统看一下，有没有什么故障代码|技师说：通过故障代码来判断|技师说：希望我的解答对你有所帮助|车主说：[图片]|车主说：ABS总泵电脑板也坏了，就是TCCS保险不知是控制什么的，有可能是4驱电脑板，我不想盲目乱拆，你有电路图吗|技师说：明白给你找下|车主说：请问有电路图吗
Q442,奔驰,奔驰E级,别克gl8，以前abs有问题，换了一个电脑版，跑了2万公里，abs灯有亮了，传感器已经换了4个轮胎的，右边前面换了2次，还是亮灯，刹车开关也换了也不行，还是没解决，还有一个问题是高位刹车灯没踩刹车还有有一点亮，不知道有没有影响。，，又在别克4s的大神吗？,技师说：把两侧的刹车灯泡都更换掉，你换的是GL8专用的轴承吗？还是和君威君越相同的那款？
Q443,宝马M,宝马M3,麻烦大师帮我看下什么情况！有时候启动就报全车故障码！什么发动机失效各种功能失效！然后你熄火过几个小时在启动就没有了！.再说不定下次启动又有了！电脑检查如图！,技师说：你好，这种情况是节气门的线束，有接触不良的现象了！|技师说：德系车方面是比较常见的问题。因为节气门这个部件主要是控制发动机进气量。所以是控制功率的主要部件。只要它本身出问题或者线路出问题，就会全车报故障码的。|技师说：我们遇到这种问题都是直接更换的发动机上面的一整条线路。|车主说：我有个修车朋友说是节气门调节器坏了！让换调节器|技师说：节气门调节器本身出问题的可能性是很小的。一般都是出在线路问题上面的。|车主说：那我现在应该怎么办|技师说：我建议你直接更换节气门的线束，|车主说：这个大概多少钱|技师说：这个不贵的，原装的1000多块钱|车主说：好的先试试
Q444,奔驰,奔驰E级,变速器控制模块已请求亮起故障灯；别克英朗倒挡不走车,技师说：你好，变速箱报的什么故障码？|车主说：压力控制电磁阀2关闭|技师说：那就需要更换压力电磁阀，清洗阀板了|车主说：哪个压力电磁阀|技师说：电脑阀板上的！
Q445,弗那萨利,弗那萨利99,什么问题气囊灯消不了,技师说：电脑换了吗？是不是出过事故？
Q446,哈弗,哈弗H2,手动挡可以换成自动吗,技师说：手动档可以换自动档的。
Q447,大众,朗逸,13款1.4T7速双离合，爬坡加油门时发动机咔咔响，手动降档后声音消失，那个声音就像用5档起步时候发出的声音,技师说：你好！上坡起步都有这种声音吗？|技师说：正常行驶一切正常是吧？|车主说：对上坡有，正常听不见|技师说：你这样你低速走一下不平路面是否也有这种声音，这个很可能是DSG变速器发出来的声音，对行驶是没有影响的，|车主说：低速没问题，就是爬坡|车主说：变速箱坏了吗？|技师说：这个很可能是里面发出来的声音，维修建议你去4S店先做升级处理|技师说：不是说一定都坏了|车主说：升级变速箱|技师说：对的、有疑问可以追问我|车主说：费用多少？|技师说：这个一般不收钱费用的
Q448,大众,速腾,车子跑了3万多公里，感觉油门很重，加速无力，怎么回事,技师说：建议清洗一下节气门
Q449,上汽通用别克,君威,09年的车子...现在车子风扇只要开始转就停不下来...换了继电器，温度传感器，节温器还是这样...,技师说：空调压力开关检查了吗？
Q450,上汽荣威,550,请教各位大师别克凯越雨刮电子有高档和中档没有间隙档是什么原因,技师说：您好中档跟高档是没有间歇的只有抵挡才有间歇|车主说：我是问低档没有会不会是电子问题|技师说：低挡雨刷东不动|车主说：不动|技师说：这个很有可能是雨刷开关坏了   具体是雨刷开关问题还是雨刷电机问题需要检查
Q451,中华,中华V3,你好 我问一下我配一把中华V3的汽车钥匙要好多钱,技师说：一般200元左右
Q452,上汽通用雪佛兰,科鲁兹,13年的  2.4  换了个冷凝器  又冲洗了一下水箱装完之后 发现里面的屏幕显示-40°空调打不开   是什么毛病【车型：别克GL8】,技师说：水箱前面有个环境温度传感器，你看看插没插
Q453,长城汽车,哈弗H6,车开了27000公里，马上要保养了，哪些项目需要做？最近冷车启动声音有点大,技师说：您好，冷车启动后声音大主要原因是润滑油温度太低，起不到应有的润滑作用，发动机ecu根据冷车状态提高转速热车，这时润滑本来不好，又提高了转速，所以声音比较大，等润滑油达到工作温度后，转速会下降到800转，声音自然会降下来的！所以这是正常的 您的这个公里数只需要更换机油，机油滤清器，空调滤清器，空气滤清器，清洗节气门，其他全车检查|车主说：我说的是以前冷车启动声音没现在大，冬天都没这大声。|技师说：您好，声音大，有可能机油过脏导致，您可以更换机油再看看，机油脏润滑不好，粘度会变高|车主说：哦，谢谢。哈弗H6用什么油好，厂家是5W30，我在武汉，推荐用什么品牌标号。谢谢|技师说：您好，建议您考虑一下嘉实多磁护或者极护机油，这个是四季通用油，可以在零下三十度使用，选择5w40的就可以了|车主说：谢谢|技师说：不客气，希望可以帮到您
Q454,上汽大众,桑塔纳志俊,老师好：今天在学习时，看到大众志俊车上空滤上盖有个管子通到下边一个皮质的像电机的东西上，又经导管连到发动机气门室盖旁的一个东西上。不知是什么系统，有什么作用，原理是什么？谢谢,技师说：通到的是二次空气泵，目的是把过浓的废气导入到进气管，进行二次燃烧，降低排放！|车主说：[图片]|车主说：[图片]|车主说：[图片]|车主说：[图片]|车主说：老师：上图中的那个是什么系统，有什么作用，谢谢|技师说：高压油泵，作用是把低压汽油加压变成高压油
Q455,大众,速腾,14年速腾报这个故障胎压学习不了,技师说：胎压监测模块本身或相关线路异常
Q456,标致,标致307,东风标致307手自一体两厢车，冷车状态不抖，大概开十多分钟出现故障灯，电脑检测到第四缸失火，发动机抖动厉害！缸压检测十二至十三，请大师指点帮忙,技师说：建议更换火花塞。   使用汽油添加剂
Q457,上汽通用别克,英朗,请问别克英朗XT变速箱大力鼓坏了换一个要多少钱。,技师说：你说的那个是液力变矩器吧，这个的话要把变速箱拆下来才可以更换，配件，大概就是1000，五六左右一个。想便宜的话自己去汽配城购买。然后去修理厂更换就可以。|车主说：好的，谢谢啊|技师说：不客气！祝您用车愉快！
Q458,日产,骐达,汽车换过喇叭，加装DSP后，在蓝牙界面有电流沙沙声，如何解决呢？GPS，收音机天线都断开了。,技师说：这是dsp信号干扰|技师说：装个滤波器
Q459,上汽大众,帕萨特,朗逸1.4t顶配，钥匙锁不了车，一键启动打不着火，仪表显示no key ,技师说：你好，遥控器没电了吧？|车主说：已经换电池了，还是不行|技师说：nokeg是提示没有检测到智能钥匙|车主说：已经换过电池了|技师说：车停在是不是有磁场干扰的地方在？|车主说：没有阿，在自己家车库|车主说：昨天才开进去的|技师说：哦，电池换了？？？匹配一下试试|车主说：怎么匹配|技师说：　1、关闭并锁上所有车门。注意：要按中控开关锁上车门。 　　2、在10秒内插入并拔出点火钥匙6次以上（不要打开点火） 第6次保持在点火开关里，此时危险警告灯会闪烁2次。 　　3、将点火开关转到ON位置。按下遥控器的任意按钮。 　　4丶此时危险警告灯会闪烁2次，表明遥控器设定成功。|车主说：这是一键启动的|技师说：一建启动的要用电脑匹配，手动匹配不了|车主说：4s店里吗|技师说：是的，遥控钥匙有电可能就是遥控器编码丢失了，要用电脑重新编码。|车主说：必须要去4s是吗|技师说：外面的修理厂也可以。
Q460,长安福特,嘉年华两厢,车下面挂了两滴防冻液，但是检查不出来哪里漏水，咋办,技师说：你好，可能是水箱盖密封不好。|车主说：水箱盖在车底部还是在上面|车主说：车快过质保期了，我都怀疑是他们故意拖延时间|技师说：上面|技师说：是有可能的。|车主说：那如何应对|车主说：还有一个多月|技师说：你好，让他多检查，就要换。|车主说：用不用去修理厂检查，拿着检查列表让4s店更换|技师说：先检查，不要给他看，迫不得已在拿出来。|技师说：水多不多啊！|技师说：希望对你有帮助。|车主说：不多，两滴，地上也没有|技师说：哦，可能检查不出来的。|车主说：是，他们说可能漏的地方都看了，没有，很奇怪啊
Q461,东风标致,标致308,师傅们，最近主驾驶的雨刷总是接触不良，导致一部分玻璃刮不到，换雨刷效果微乎其微。如果是雨刷臂的原因，必须换吗？雨刷臂能修吗？感觉雨刷臂弹性不足啊！,技师说：你好车主，可以对雨刮臂进行调整可以解决，如果调不过来才考虑更换|车主说：嗯嗯|技师说：还有什么问题需要帮助的吗？
Q462,现代,瑞纳,我的车是12年2月上牌的瑞纳1.6自动挡的车。去年出现过一个故障，堵车时轻踩油门转速刚到1000就突然掉下来，车子发冲，有时还熄火。如果是油门稍微给大点的话，转速能迅速过1000就不会有这个问题了，车子收油门的时候会有顿挫感，那时候更换了一个VVT阀，就好了，用了不到一年，中途偶尔会有，目前又出现这个故障了，开2公里左右车子热了，问题就会消失。请问一下，这个是VVT阀门的问题吗？还有没有其他问题的可能。,技师说：你好，VVT阀还存在问题，您拆下来清洗一下，用化油器清洗剂清洗一下 另外需要检查一下节气门，很可能是节气门有问题，用电脑检测过吗？有故障代码吗？|车主说：VVT阀门清洗过，不知道有没有效果。故障代码为P0016和P0011。|技师说：稍等，我查一下|技师说：[图片]|技师说：[图片]|技师说：看一下这个故障部位，然后进行处理|技师说：故障代码可以消除吗？|车主说：第二个图看不到|技师说：[图片]|技师说：曲轴位置传感器和凸轮轴位置传感器|车主说：怠速/热车不熄火，发动机启动正常。不应该是凸轮轴，曲轴传感器故障。|技师说：但是故障显示就是这两个传感器。您的车辆行驶多少公里了？|技师说：您最好是把曲轴位置传感器和凸轮轴位置传感器拆下来，用化油器清洗剂清洗一下，也可能是传感器表面存在积碳|车主说：目前6万多公里|技师说：你先清洗传感器吧，清洗之后再试一下|车主说：我试一试吧
Q463,大众,帕萨特,引擎盖，车顶，车尾。都因台风被砸，有凹痕，掉漆。其他边边角角都有小点。  这样去烤漆的多少钱。,技师说：如果去4s店的话，每个面在八百块钱左右|技师说：比如车顶，引擎盖，每个门，这都算一个面|技师说：如果在外面，每个面在三百元左右|车主说：外面，开价3个1200以上。问了朋友，他们说漆不是很好|技师说：1200偏贵了一点点，如果是好漆的话，倒是可以|技师说：如果油漆质量不行的话，在外面正常就三百|车主说：外面很多人说漆，没原厂的好。我这是厦门地区|技师说：是的，|技师说：肯定不如4s店|车主说：4s上次给我说，车头有凹痕，车头也有凹。单单车头，整个4s就说的1200|技师说：很多4s每个面的收费标准都在1000啊|技师说：1200|车主说：然后我说全身的多少，因为保险划痕险5000。|车主说：4S说8个面5000|车主说：全车|车主说：你说全身喷，值得吗|技师说：值得|技师说：这个肯定是的啊，五千块钱，做全车正好啊|技师说：再说你出过一次险也无所谓啊，保费也涨不了多少|技师说：就这么干|车主说：他给我说，是原厂车漆。|技师说：另外哪里面还有不好的让4s送给你|技师说：用一次划痕险无所谓的，与金额没关系|车主说：那就全车了|车主说：4S，说原厂车漆，应该不会骗人|车主说：要修5天的时间|技师说：4s不会骗人的，|技师说：这个很划算，5天是正常时间|车主说：正常时间就好|车主说：谢谢|技师说：不客气
Q464,上汽大众,桑塔纳,CPT发动机这个部件叫啥 什么作用,技师说：碳罐电磁阀，作用是将油箱里产生的燃油蒸汽输送到进气歧管，之后再燃烧掉。
Q465,大众,迈腾(进口),进气管漏气有什么危害,技师说：你好，油耗增加，进气质量变差。|车主说：谢谢|技师说：嗯嗯
Q466,北京现代,瑞纳,大师你好，我今年2月底买的新车，一千六百多公里，前两天在高速上开车，总感觉提不起速来，后来感觉不对劲赶紧停到避险车道上，然后就烧焦冒黑烟了，过几个小时再打火就打不着了。水箱里冒出了不明液体，期间任何故障灯都没亮过,技师说：你好，根据你所描述的问题，这个位置只能是防冻液，出现问题你可以回4S店进行免费维修的，可不要在外面维修，以免造成不必要的所示|技师说：损失|车主说：车已经在4s店了，在等他们检查结果。新车就出现这种问题，我该如何维护自己合法权益？|技师说：4S店就是免费维修的。|技师说：你想怎么维护自己呢|车主说：我想提出换新车可以吗？|车主说：刚买的新车，而且只有1600公里|技师说：可以要求。但是4S店应该不会同意。你可以和s4S店和商家商谈一下。如果能达成协议的话是最好了就会给你免费换车了。|车主说：如果换新车后车的户口怎么解决？|技师说：那就都变更到新车上呗|车主说：因为是小菜鸟，什么都不懂的。谢谢大师耐心解答|技师说：具体的还是先找4s店和商家协商一下。哈哈，是不是能换或者是就是维修。|技师说：不客气。如果还有什么疑问，可以点击我的头像进行关注，欢迎随时，来电咨询，或者是文字型。|车主说：好的，谢谢|技师说：不客气，能保住到你就是我的快乐，祝你行车愉快
Q467,上汽通用雪佛兰,爱唯欧,有个汽车维修的图标是什么意思，什么东西坏了。,技师说：你好！这是保养灯，是提示你发动机要做保养了|车主说：机油和机油滤芯才换一个月|技师说：换机油后，没有做保养灯归零，去修理厂清除就可以了
Q468,道奇(进口),酷威,请问 一个09年的道奇酷威不换挡  60码都3500转 显示的故障码是p0755  换挡电磁阀B的故障   他这个车以前是6缸失火 换了喷油嘴解决故障  跑了1天又显示5缸失火和换挡电磁阀故障  现在换了5缸的喷油嘴解决了5失火的故障但是换挡电磁阀的故障解决不了还是跑不起来   他这个是6速的变速箱,技师说：你好 这个失火和报P0755是没有关系的。
Q469,东风小康,东风小康V26,这个怎么把轴承拆出来？,技师说：你好 先把法兰敲出去 然后把卡簧拆掉，把轴承用压力机或者楞头敲出来就可以的。
Q470,长安福特,翼虎,帕萨特领域 热车有刺耳的口哨声 把压力调节阀换了好了一点 但是还是响,技师说：你好！声音大致是什么位置发出来的知道吗？|技师说：有没有发动机故障灯亮|车主说：故障灯不亮  声音很刺耳 听不出来哪里发出来的|技师说：怠速运转都响吗？|车主说：是的  只有热车才响|技师说：这个很明显曲轴箱通风存在问题|技师说：你是1.8T的好|车主说：是的1.8T|技师说：你这样看一下进气歧管下面有一个曲轴通风管子是否存在堵塞现象，机油盖打开就没有了是吧？|车主说：是的机油盖打开就没了|技师说：这个就是曲轴箱通风存在问题了，可能原因就是管子堵塞，单向阀存在问题|技师说：你重点检查一下进气歧管下面那个一直到缸盖后面那个管子都检查一下，有疑问可以追问我|车主说：好的谢谢|技师说：没事，有疑问可以追问我，希望能够帮助你解决问题|车主说：[图片]|车主说：单向阀是这个吗|技师说：对的、包括进气歧管下面的废气管|技师说：还在吗？|技师说：[图片]|技师说：[图片]|技师说：那下面那个和这个管子是否存在堵塞现象|车主说：废气管是通的 我用气泵吹了  单向阀换的新的|技师说：下面这根管子是否存在堵塞|技师说：还包括后面EGR阀|技师说：把所有的废气管都检查一下，是否存在堵塞、机油尺拉起来也不存在这个问题是吧|车主说：管子都通没有堵塞  曲轴通风箱也拆下来了  也没堵|技师说：那进气歧管下面那个废气一直出来到上面管子都没有问题吗？
Q471,奔驰(进口),奔驰GL级,大众高尔夫车身稳定系统着灯，车挂不了档，什么问题啊?？,技师说：你好，建议用电脑检测仪紧入车身稳定系统读取故障码。并观察刹车开关信号数据流。如果刹车开关数据正常建议检查挂档电磁阀是否发卡。如刹车开关信号不正常建议检查相关保险丝，或用万用电表测量刹车开关是否损坏。希望我的回答能帮到你
Q472,菲斯克,Karma,自动变速箱漏油，修理厂说自动变速箱电脑版漏油，问哈如何更换电脑版，要拆变速箱吗？,技师说：有图片吗？|车主说：[图片]|技师说：看不清楚。|车主说：[图片]|技师说：如果是电脑板漏油，没拆之前，建议您到4S店维修或者更换，这个电脑板有可能需要匹配的。|车主说：嗯，可以匹配，要怎么更换|技师说：这个我没换过，比较麻烦，有可能要把变速箱全散开。|车主说：哦，好的，谢谢！|技师说：不客气。
